Neighbourhood,latitude,longitude
La Barceloneta,41.37944,2.18917
Barrio Gótico de Barcelona,41.382777777778,2.1769444444444
El Raval,41.38,2.16861
"Sant Pere, Santa Caterina i la Ribera",41.3847,2.1826
La Antigua Izquierda del Ensanche,41.390061111111,2.1550611111111
La Nueva Izquierda del Ensanche,41.383389,2.149
La Dreta de l'Eixample,41.395278,2.166667
El Fort Pienc,41.395675,2.183703
Sagrada Familia (barrio de Barcelona),41.403561,2.174347
Barrio de Sant Antoni (Barcelona),41.37801,2.15949
La Bordeta (Barcelona),41.37049444,2.13709722
La Font de la Guatlla,41.36968056,2.14481111
Hostafrancs,41.375555555556,2.1430555555556
La Marina del Prat Vermell,41.35210278,2.13943611
La Marina de Port,41.35958333,2.14097222
Pueblo Seco,41.37278,2.1625
Sants,41.38333333,2.15
Sants-Badal,41.37527778,2.12666667
Montjuic (Barcelona),41.364166666667,2.1580555555556
Barrio de Les Corts,41.38416667,2.13277778
La Maternidad y San Ramón,41.38434167,2.12220556
Pedralbes,41.39472222,2.11305556
Putget i Farró,41.40555556,2.14527778
Sant Gervasi-La Bonanova,41.40638889,2.13361111
Sant Gervasi-Galvany,41.39666667,2.14388889
Sarriá,41.39943056,2.12186667
Las Tres Torres,41.39861111,2.13111111
"Vallvidrera, el Tibidabo i les Planes",41.4167,2.09472
Camp d'en Grassot i Gràcia Nova,41.40611,2.16722
El Coll,41.41805556,2.14583333
Villa de Gracia,41.40404722,2.15589444
La Salud (Barcelona),41.41247778,2.15143056
Vallcarca y los Penitentes,41.412778,2.143056
El Baix Guinardó,41.40922778,2.16692222
Can Baró,41.416384,2.162356
El Carmelo,41.418336111111,2.1544361111111
La Font d'en Fargues,41.42491667,2.16552778
El Guinardó,41.418378,2.175561
Horta (Barcelona),41.42950278,2.1601
La Clota,41.42944444,2.15361111
Montbau,41.430925,2.14296667
Sant Genís dels Agudells,41.42850556,2.13254722
La Teixonera,41.42313056,2.14585278
El Valle de Hebrón,41.431624,2.148853
Can Peguera,41.4349,2.166188
Canyelles (barrio),41.442684,2.166015
Ciudad Meridiana,41.46091389,2.17443333
La Guineueta,41.441342,2.171986
Porta (Barcelona),41.43465,2.17494722
La Prosperitat,41.442661111111,2.1816861111111
Les Roquetes,41.448644444444,2.1720305555556
Torre Baró,41.458356,2.180782
La Trinitat Nova,41.448580555556,2.1852472222222
El Turó de la Peira,41.433008333333,2.1658083333333
Vallbona (barrio),41.462330555556,2.1829083333333
Verdún (Barcelona),41.4426,2.1754
Vilapicina y La Torre Llobeta,41.428761111111,2.1708722222222
Barón de Viver,41.447905555556,2.2007416666667
El Buen Pastor (Barcelona),41.436347222222,2.2013277777778
El Congrés i els Indians,41.425880555556,2.1806777777778
Navas (barrio),41.415744444444,2.1869
La Sagrera,41.422358333333,2.1863194444444
San Andrés de Palomar,41.436111111111,2.1916666666667
La Trinitat Vella,41.4491,2.19332
El Besós y el Maresme,41.417177777778,2.2135722222222
El Campo del Arpa del Clot,41.41143333,2.1825
El Clot,41.407848,2.188822
Diagonal Mar i el Front Marítim del Poblenou,41.4096,2.21630556
El Parc i la Llacuna del Poblenou,41.39916667,2.19083333
Pueblo Nuevo (Barcelona),41.39916667,2.20388889
Provençals del Poblenou,41.4094,2.20056
San Martín de Provensals,41.41722222,2.19805556
La Verneda y la Paz,41.42195,2.2053111111111
La Villa Olímpica del Poblenou,41.3898,2.19659
