name,categories,address,cc,city,country,crossStreet,distance,formattedAddress,labeledLatLngs,lat,lng,postalCode,state,id,Neighbourhood,neighborhood
Baluard Barceloneta,Bakery,"C. del Baluard, 38-40",ES,Barcelona,España,C. d'Escuder,67,"[""C. del Baluard, 38-40 (C. d'Escuder)"", '08003 Barcelona Cataluña', 'España']","[{'label': 'display', 'lat': 41.38004687981699, 'lng': 2.189249637101365}]",41.38004687981699,2.189249637101365,08003,Cataluña,4c5144e3375c0f475ed8ae93,La Barceloneta,
Rumbanroll,Mediterranean Restaurant,"C. de la Maquinista, 6",ES,Barcelona,España,,171,"['C. de la Maquinista, 6', '08003 Barcelona Cataluña', 'España']","[{'label': 'display', 'lat': 41.38059695009252, 'lng': 2.1878065054525377}]",41.38059695009252,2.1878065054525377,08003,Cataluña,53249684498ee054d4599642,La Barceloneta,
La Cova Fumada,Tapas Restaurant,"Baluard, 56",ES,Barcelona,España,,21,"['Baluard, 56', '08003 Barcelona Cataluña', 'España']","[{'label': 'display', 'lat': 41.37925390526866, 'lng': 2.1892540978203394}]",41.37925390526866,2.1892540978203394,08003,Cataluña,4b7a8de2f964a520fa302fe3,La Barceloneta,
Plaça de la Barceloneta,Plaza,Plaça de la Barceloneta,ES,Barcelona,España,,92,"['Plaça de la Barceloneta', 'Barcelona Cataluña', 'España']","[{'label': 'display', 'lat': 41.3797389508097, 'lng': 2.1881353855133057}]",41.3797389508097,2.1881353855133057,,Cataluña,4c7a77822d3ba1432b4b91d0,La Barceloneta,
BRO,Burger Joint,"C. de Baluard, 34",ES,Barcelona,España,entre Maquinista i Escuder,87,"['C. de Baluard, 34 (entre Maquinista i Escuder)', '08003 Barcelona Cataluña', 'España']","[{'label': 'display', 'lat': 41.380213875422356, 'lng': 2.1890065281702524}]",41.380213875422356,2.1890065281702524,08003,Cataluña,535ea7db498e522c6b801a4f,La Barceloneta,
NAP Mar,Pizza Place,"C. Baluard, 69",ES,Barcelona,España,"C. Almirall Aixada, 15",225,"['C. Baluard, 69 (C. Almirall Aixada, 15)', '08003 Barcelona Cataluña', 'España']","[{'label': 'display', 'lat': 41.37753029604167, 'lng': 2.1900548798841104}]",41.37753029604167,2.1900548798841104,08003,Cataluña,539d8fdc498e2eba581c5151,La Barceloneta,
Somorrostro,Spanish Restaurant,"Sant Carles, 11",ES,Barcelona,España,,32,"['Sant Carles, 11', '08003 Barcelona Cataluña', 'España']","[{'label': 'display', 'lat': 41.37915630767672, 'lng': 2.189099682467895}]",41.37915630767672,2.189099682467895,08003,Cataluña,4b9165c4f964a5202bb933e3,La Barceloneta,
El Xiringo,Wine Bar,"Carrer de Sant Carles, 23",ES,Barcelona,España,,134,"['Carrer de Sant Carles, 23', '08003 Barcelona Cataluña', 'España']","[{'label': 'display', 'lat': 41.37947871601855, 'lng': 2.190785160547996}]",41.37947871601855,2.190785160547996,08003,Cataluña,4cf42b6c1c158cfa8ff4e1b5,La Barceloneta,
La Barra Carles Abellan,Restaurant,,ES,Barcelona,España,,129,"['Barcelona Cataluña', 'España']","[{'label': 'display', 'lat': 41.37983778805918, 'lng': 2.1877115727248437}]",41.37983778805918,2.1877115727248437,,Cataluña,58c1b3569465dd5494ac9c2a,La Barceloneta,
Mesōn Barceloneta,Paella Restaurant,Paseo Juan De Borbón 10,ES,Barcelona,España,,204,"['Paseo Juan De Borbón 10', '08003 Barcelona Cataluña', 'España']","[{'label': 'display', 'lat': 41.38053329752473, 'lng': 2.1872047197081876}]",41.38053329752473,2.1872047197081876,08003,Cataluña,5522b344498e10a5a3863913,La Barceloneta,
acqua&farina,Pizza Place,,ES,Barcelona,España,,198,"['08003 Barcelona Cataluña', 'España']","[{'label': 'display', 'lat': 41.381105, 'lng': 2.190029}]",41.381105,2.190029,08003,Cataluña,5b3bd6684420d8003919ee61,La Barceloneta,
La Malandrina,Steakhouse,"C. Almirall Cervera, 5",ES,Barcelona,España,C. Sant Miquel,154,"['C. Almirall Cervera, 5 (C. Sant Miquel)', '08003 Barcelona Cataluña', 'España']","[{'label': 'display', 'lat': 41.378128929548396, 'lng': 2.188567209692612}]",41.378128929548396,2.188567209692612,08003,Cataluña,4c4f22329932e21e1677e4ce,La Barceloneta,La Barceloneta
el bar del Basko,Tapas Restaurant,Guitert 19,ES,Barcelona,España,,111,"['Guitert 19', '08003 Barcelona Cataluña', 'España']","[{'label': 'display', 'lat': 41.37941431607088, 'lng': 2.1905011848537317}]",41.37941431607088,2.1905011848537317,08003,Cataluña,58555fc8da54ae2d88c25467,La Barceloneta,
OneOcean Club,Restaurant,"Moll de la Barceloneta, 1",ES,Barcelona,España,,254,"['Moll de la Barceloneta, 1', '08039 Barcelona Cataluña', 'España']","[{'label': 'display', 'lat': 41.3796544775902, 'lng': 2.1861353040974114}]",41.3796544775902,2.1861353040974114,08039,Cataluña,54ae5d15498e461185545d97,La Barceloneta,
Bacoa Barceloneta,Burger Joint,"C. del Judici, 15",ES,Barcelona,España,,319,"['C. del Judici, 15', '08003 Barcelona Cataluña', 'España']","[{'label': 'display', 'lat': 41.376675, 'lng': 2.190202}]",41.376675,2.190202,08003,Cataluña,559025e2498e574b7654047a,La Barceloneta,
Bodega Fermín,Beer Bar,"C. Sant Carles, 18",ES,Barcelona,España,,34,"['C. Sant Carles, 18', '08003 Barcelona Cataluña', 'España']","[{'label': 'display', 'lat': 41.37930321199982, 'lng': 2.1895446496980386}]",41.37930321199982,2.1895446496980386,08003,Cataluña,52b6e3f311d2db32fd08dc30,La Barceloneta,
Platja de la Barceloneta (Playa de la Barceloneta),Beach,Pg. Maritim de la Barceloneta,ES,Barcelona,España,,323,"['Pg. Maritim de la Barceloneta', '08003 Barcelona Cataluña', 'España']","[{'label': 'display', 'lat': 41.37961014544736, 'lng': 2.1930384635925293}]",41.37961014544736,2.1930384635925293,08003,Cataluña,4c0d3610d64c0f47665e265d,La Barceloneta,
Onda Hair & Beauty Salon,Salon / Barbershop,Carrer de l'Atlàntida 53,ES,Barcelona,España,,40,"[""Carrer de l'Atlàntida 53"", '08003 Barcelona Cataluña', 'España']","[{'label': 'display', 'lat': 41.37962508572007, 'lng': 2.189593425902352}]",41.37962508572007,2.189593425902352,08003,Cataluña,4c61784f3986e21e09a4964f,La Barceloneta,
